yr,gen,block,plot,row,col,fy
H04,MK06,B2,MK06B2,2,18,27.09382236
H04,MK07,B2,MK07B2,2,22,25.66323821
H04,MK08,B2,MK08B2,2,19,18.21761121
H04,MK09,B2,MK09B2,2,13,9.390336338
H04,MK10,B2,MK10B2,2,9,27.17698586
H04,MK11,B2,MK11B2,2,10,28.20115613
H04,MK12,B2,MK12B2,2,12,9.894377778
H04,MK13,B2,MK13B2,2,7,16.8151504
H04,MK14,B2,MK14B2,2,5,23.18056855
H04,MK15,B2,MK15B2,2,17,21.71018491
H04,MK16,B2,MK16B2,2,14,31.69008616
H04,MK17,B2,MK17B2,2,16,27.30319707
H04,MK18,B2,MK18B2,2,25,23.26259048
H04,MK19,B2,MK19B2,2,21,30.13383598
H04,MK20,B2,MK20B2,2,1,49.31755051
H04,MK21,B2,MK21B2,2,4,18.45747222
H04,MK22,B2,MK22B2,2,23,15.6355
H04,MK23,B2,MK23B2,2,6,22.38015873
H04,MK24,B2,MK24B2,2,8,40.37697
H04,MK25,B2,MK25B2,2,24,32.08663191
H04,MK01,B3,MK01B3,3,10,19.22970238
H04,MK02,B3,MK02B3,3,16,41.03130821
H04,MK03,B3,MK03B3,3,11,23.07720462
H04,MK04,B3,MK04B3,3,20,29.47081932
H04,MK05,B3,MK05B3,3,3,26.70216288
H04,MK06,B3,MK06B3,3,14,36.27816891
H04,MK07,B3,MK07B3,3,13,36.08892874
H04,MK08,B3,MK08B3,3,2,30.5412894
H04,MK09,B3,MK09B3,3,1,35.77270986
H04,MK10,B3,MK10B3,3,6,19.66755555
H04,MK11,B3,MK11B3,3,17,10.76771416
H04,MK12,B3,MK12B3,3,9,21.43781852
H04,MK13,B3,MK13B3,3,19,29.35978641
H04,MK14,B3,MK14B3,3,24,30.51319738
H04,MK15,B3,MK15B3,3,4,36.04709947
H04,MK16,B3,MK16B3,3,21,7.141427866
H04,MK17,B3,MK17B3,3,18,19.19756044
H04,MK18,B3,MK18B3,3,12,18.52391463
H04,MK19,B3,MK19B3,3,7,27.04318613
H04,MK20,B3,MK20B3,3,5,40.24312121
H04,MK21,B3,MK21B3,3,15,24.60996297
H04,MK22,B3,MK22B3,3,25,24.57007143
H04,MK23,B3,MK23B3,3,23,21.48495238
H04,MK24,B3,MK24B3,3,22,32.72659674
H04,MK25,B3,MK25B3,3,8,40.67319537
H04,MK01,B4,MK01B4,4,7,19.45330357
H04,MK02,B4,MK02B4,4,3,24.18687642
H04,MK03,B4,MK03B4,4,2,35.32225198
H04,MK04,B4,MK04B4,4,23,30.40640089
H04,MK05,B4,MK05B4,4,15,14.61061742
H04,MK06,B4,MK06B4,4,24,21.12399709
H04,MK07,B4,MK07B4,4,16,23.25730963
H04,MK08,B4,MK08B4,4,4,39.65009501
H04,MK09,B4,MK09B4,4,20,25.48805577
H04,MK10,B4,MK10B4,4,21,21.45551515
H04,MK11,B4,MK11B4,4,9,14.86970051
H04,MK12,B4,MK12B4,4,10,49.47188889
H04,MK13,B4,MK13B4,4,11,29.35978641
H04,MK14,B4,MK14B4,4,1,22.70749573
H04,MK15,B4,MK15B4,4,18,20.07168038
H04,MK16,B4,MK16B4,4,6,28.56571146
H04,MK17,B4,MK17B4,4,14,26.0233597
H04,MK18,B4,MK18B4,4,19,16.15457672
H04,MK19,B4,MK19B4,4,8,24.72519875
H04,MK20,B4,MK20B4,4,12,38.27041919
H04,MK21,B4,MK21B4,4,5,11.20632242
H04,MK22,B4,MK22B4,4,25,7.81775
H04,MK23,B4,MK23B4,4,13,40.28428571
H04,MK24,B4,MK24B4,4,17,25.50124421
H04,MK25,B4,MK25B4,4,22,37.50972462
H04,MK01,B5,MK01B5,5,9,29.51535714
H04,MK02,B5,MK02B5,5,10,33.04100081
H04,MK03,B5,MK03B5,5,8,39.08995887
H04,MK04,B5,MK04B5,5,6,62.6839649
H04,MK05,B5,MK05B5,5,24,42.32040909
H04,MK06,B5,MK06B5,5,15,17.90947579
H04,MK07,B5,MK07B5,5,12,21.65335724
H04,MK08,B5,MK08B5,5,25,32.68453777
H04,MK09,B5,MK09B5,5,23,44.26872845
H04,MK10,B5,MK10B5,5,7,31.82568081
H04,MK11,B5,MK11B5,5,20,48.45471373
H04,MK12,B5,MK12B5,5,13,31.3321963
H04,MK13,B5,MK13B5,5,14,43.77277248
H04,MK14,B5,MK14B5,5,22,17.97676745
H04,MK15,B5,MK15B5,5,18,18.02354974
H04,MK16,B5,MK16B5,5,19,30.35106843
H04,MK17,B5,MK17B5,5,11,26.87658462
H04,MK18,B5,MK18B5,5,17,15.50839365
